wav_filename,wav_filesize,transcript
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0019.wav,316218,it was karl yundt who was heard implacable to his last breath
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0012.wav,309498,struggle warfare was the condition of private ownership it was fatal
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0067.wav,335738,mister verloc's anxieties had prevented him from attaching any sense to what his wife was saying
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0036.wav,580538,the coals in the grate settled down with a slight crash and michaelis the hermit of visions in the desert of a penitentiary got up impetuously
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0017.wav,174778,very characteristic perfectly typical
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0010.wav,218938,and i could never get as many as three such men together
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0027.wav,277178,his own skin had sizzled under the red hot brand he murmured softly
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0000.wav,175418,all idealisation makes life poorer
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0066.wav,742138,there was no young man of his age in london more willing and docile than stephen she affirmed none more affectionate and ready to please and even useful as long as people did not upset his poor head
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0015.wav,608698,a harsh laugh from comrade ossipon cut the tirade dead short in a sudden faltering of the tongue and a bewildered unsteadinesss of the apostle's mildly exalted eyes
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0031.wav,708218,the sheet of paper covered with circles dropped out of his fingers and he remained staring at the old terrorist as if rooted suddenly to the spot by his morbid horror and dread of physical pain
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0007.wav,784378,when he rose painfully the thrusting forward of a skinny groping hand deformed by gouty swellings suggested the effort of a moribund murderer summoning all his remaining strength for a last stab
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0072.wav,173498,ask karl yundt he growled savagely
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0074.wav,222778,he knows no better he gets into his passions over it
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0003.wav,604858,michaelis the ticket of leave apostle was speaking in an even voice a voice that wheezed as if deadened and oppressed by the layer of fat on his chest
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0013.wav,969658,ah he did not depend upon emotional excitement to keep up his belief no declamations no anger no visions of blood red flags waving or metaphorical lurid suns of vengeance rising above the horizon of a doomed society not he
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0025.wav,587578,michaelis the ticket of leave apostle smiled vaguely with his glued lips his pasty moon face drooped under the weight of melancholy assent
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0038.wav,198458,he paused then added with modest firmness
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0052.wav,316858,mister verloc perceived with some surprise that he did not know really what to say to stevie
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0004.wav,272378,and ever since he had never managed to get his weight down as much as an ounce
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0055.wav,246778,stevie prowled round the table like an excited animal in a cage
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0009.wav,308218,the old terrorist turned slowly his head on his skinny neck from side to side
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0073.wav,243258,he isn't fit to hear what's said here he believes it's all true
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0018.wav,259258,you would call that lad a degenerate would you mumbled mister verloc
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0022.wav,193338,there was an extraordinary force of suggestion in this posturing
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0064.wav,375094,that poor boy is in a very excited state to night she murmured after a pause which lasted for three ticks of the clock
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0001.wav,147258,then why indulge in prophetic phantasies
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0030.wav,413818,stevie accustomed to move about disregarded had got up from the kitchen table carrying off his drawing to bed with him
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0062.wav,152058,yes not at all well
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0079.wav,642618,the other day stevie got hold of one and there was a story in it of a german soldier officer tearing half off the ear of a recruit and nothing was done to him for it the brute
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0040.wav,319098,they are nourishing their greed on the quivering flesh and the warm blood of the people nothing else
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0016.wav,802298,alexander ossipon got up tall in his threadbare blue serge suit under the low ceiling shook off the stiffness of long immobility and strolled away into the kitchen down two steps to look over stevie's shoulder
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0044.wav,257658,with the insight of a kindred temperament he pronounced his verdict
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0069.wav,316538,if i had known they were coming to night i would have seen to it that he went to bed at the same time i did
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0053.wav,298298,he stood still in the middle of the parlour and looked into the kitchen in silence
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0063.wav,1162938,down below in the quiet narrow street measured footsteps approached the house then died away unhurried and firm as if the passer by had started to pace out all eternity from gas lamp to gas lamp in a night without end and the drowsy ticking of the old clock on the landing became distinctly audible in the bedroom
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0049.wav,144058,this survey was unfavourable
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0054.wav,193978,he watched him gesticulating and murmuring in the kitchen
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0059.wav,394298,it's like your horse suddenly falling dead under you in the midst of an uninhabited and thirsty plain
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0048.wav,382458,these were but few and for the first time since he opened his shop he took a commercial survey of its value
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0045.wav,766458,there are natures too to whose sense of justice the price exacted looms up monstrously enormous odious oppressive worrying humiliating extortionate intolerable those are the fanatics
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0006.wav,292858,yes i had the time to think things out a little he added without emphasis
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0060.wav,505338,the comparison occurred to mister verloc because he had sat astride various army horses in his time and had now the sensation of an incipient fall
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0081.wav,96378,comfortable dear
#FILE_PATH_HERE#dev-clean/777/126732/777-126732-0080.wav,162298,he can't stand the notion of any cruelty
